iter	Passed	Remaining
0	0	527
1	0	395
2	1	349
3	1	328
4	1	321
5	1	308
6	2	300
7	2	302
8	2	296
9	2	290
10	3	285
11	3	280
12	3	277
13	3	274
14	4	272
15	4	275
16	4	274
17	4	272
18	5	270
19	5	269
20	5	269
21	6	267
22	6	267
23	6	265
24	6	266
25	7	268
26	7	267
27	7	266
28	7	265
29	8	262
30	8	261
31	8	260
32	8	259
33	9	258
34	9	258
35	9	256
36	9	255
37	10	254
38	10	252
39	10	253
40	10	252
41	11	251
42	11	251
43	11	250
44	11	251
45	12	252
46	12	251
47	12	251
48	12	251
49	13	250
50	13	249
51	13	248
52	13	248
53	14	248
54	14	247
55	14	247
56	14	246
57	15	245
58	15	245
59	15	244
60	15	244
61	16	244
62	16	244
63	16	244
64	16	243
65	17	244
66	17	244
67	17	243
68	17	241
69	18	241
70	18	241
71	18	241
72	19	241
73	19	241
74	19	239
75	19	239
76	20	240
77	20	240
78	20	240
79	20	239
80	21	238
81	21	239
82	21	240
83	22	240
84	22	240
85	22	239
86	22	239
87	23	239
88	23	238
89	23	238
90	23	238
91	24	238
92	24	237
93	24	237
94	24	237
95	25	236
96	25	236
97	25	236
98	25	235
99	26	235
100	26	234
101	26	234
102	26	233
103	27	234
104	27	234
105	27	233
106	27	233
107	28	233
108	28	232
109	28	231
110	28	231
111	29	230
112	29	230
113	29	229
114	29	229
115	30	230
116	30	230
117	30	231
118	31	230
119	31	230
120	31	229
121	31	228
122	32	228
123	32	227
124	32	227
125	32	227
126	32	226
127	33	226
128	33	226
129	33	225
130	34	225
131	34	225
132	34	224
133	34	224
134	34	224
135	35	223
136	35	223
137	35	223
138	35	222
139	36	222
140	36	222
141	36	221
142	36	221
143	37	221
144	37	221
145	37	221
146	38	221
147	38	220
148	38	220
149	38	220
150	39	220
151	39	219
152	39	219
153	39	218
154	40	218
155	40	217
156	40	217
157	40	216
158	40	216
159	41	216
160	41	215
161	41	215
162	41	215
163	42	216
164	42	215
165	42	215
166	43	215
167	43	214
168	43	214
169	43	214
170	44	217
171	45	217
172	45	216
173	45	216
174	45	216
175	46	215
176	46	215
177	46	215
178	46	215
179	47	214
180	47	214
181	47	214
182	47	213
183	48	213
184	48	212
185	48	212
186	48	212
187	49	211
188	49	211
189	49	211
190	49	210
191	50	210
192	50	210
193	50	209
194	50	209
195	51	209
196	51	209
197	51	209
198	51	208
199	52	208
200	52	208
201	52	207
202	52	207
203	53	208
204	53	208
205	54	208
206	54	207
207	54	207
208	54	206
209	54	206
210	55	206
211	55	206
212	55	205
213	55	205
214	56	205
215	56	205
216	56	204
217	57	205
218	57	205
219	57	205
220	58	204
221	58	204
222	58	204
223	59	204
224	59	204
225	59	203
226	59	203
227	60	203
228	60	203
229	60	203
230	60	202
231	61	202
232	61	202
233	61	202
234	62	201
235	62	201
236	62	201
237	62	201
238	63	200
239	63	200
240	63	200
241	63	199
242	64	199
243	64	199
244	64	198
245	64	198
246	65	198
247	65	197
248	65	197
249	65	197
250	66	197
251	66	197
252	66	197
253	67	196
254	67	196
255	67	196
256	67	196
257	68	195
258	68	195
259	68	195
260	68	194
261	69	194
262	69	194
263	69	193
264	69	193
265	70	193
266	70	193
267	70	192
268	70	192
269	71	192
270	71	191
271	71	191
272	71	191
273	72	191
274	72	191
275	72	191
276	73	191
